date,year,month,day,region,country,category,medicine,age_group,units_sold,unit_price,stock_level,expiry_days_remaining,covid_flag
2024-02-03,2024,2,3,North America,Canada,Cardiovascular,Atorvastatin,46-65,496,25.83,751,332,0
2025-02-05,2025,2,5,Africa,Nigeria,Cough_Cold,Cough Syrup,13-25,292,11.15,1340,492,0
2023-11-24,2023,11,24,Oceania,Australia,Vitamin,Vitamin C,13-25,272,9.58,664,834,0
2021-02-13,2021,2,13,North America,Mexico,Chronic,Omeprazole,65+,250,41.64,1466,554,1
2025-09-28,2025,9,28,South America,Colombia,Vitamin,Vitamin C,0-12,418,9.27,198,328,0
2022-10-31,2022,10,31,South America,Brazil,Vitamin,Vitamin C,65+,188,9.33,271,350,1
2021-04-10,2021,4,10,Oceania,Australia,Vitamin,Vitamin C,13-25,98,11.52,1655,651,1
2022-10-19,2022,10,19,Middle East,Saudi Arabia,Vitamin,Vitamin C,0-12,111,8.93,1549,959,1
2025-08-05,2025,8,5,South Asia,India,Vitamin,Vitamin C,0-12,332,9.52,1221,132,0
2024-11-10,2024,11,10,North America,Mexico,Respiratory,Salbutamol,26-45,43,23.81,1138,559,0
2025-06-02,2025,6,2,Oceania,Australia,Cardiovascular,Amlodipine,0-12,138,25.55,1337,265,0
2023-10-01,2023,10,1,South America,Brazil,Chronic,Omeprazole,26-45,343,40.48,35,777,0
2025-04-30,2025,4,30,East Asia,South Korea,Diabetes,Metformin,46-65,13,14.64,1512,657,0
2024-10-27,2024,10,27,East Asia,Japan,Chronic,Omeprazole,46-65,233,40.27,1774,784,0
2022-09-11,2022,9,11,Europe,Germany,Chronic,Omeprazole,65+,251,37.84,48,327,1
2025-03-21,2025,3,21,Middle East,Saudi Arabia,Diabetes,Metformin,26-45,230,17.79,1343,892,0
2022-07-22,2022,7,22,Middle East,Saudi Arabia,Antibiotic,Azithromycin,46-65,21,25.68,1886,54,1
2022-10-01,2022,10,1,Africa,Nigeria,Cardiovascular,Amlodipine,46-65,336,26.27,827,143,1
2022-01-27,2022,1,27,Europe,Italy,Cardiovascular,Amlodipine,65+,195,24.82,1441,858,1
2023-12-03,2023,12,3,Europe,Italy,Diabetes,Metformin,13-25,189,17.26,1707,974,0
2025-04-12,2025,4,12,Middle East,Saudi Arabia,Diabetes,Metformin,46-65,323,17.37,86,773,0
2020-01-12,2020,1,12,Africa,Nigeria,Chronic,Omeprazole,46-65,37,35.86,1306,942,1
2022-09-13,2022,9,13,Oceania,Australia,Respiratory,Salbutamol,13-25,14,18.04,1922,952,1
2020-03-30,2020,3,30,South Asia,Bangladesh,Vitamin,Vitamin C,26-45,139,8.48,94,281,1
2024-07-16,2024,7,16,East Asia,Japan,Cough_Cold,Cough Syrup,0-12,400,11.15,39,415,0
2023-07-05,2023,7,5,East Asia,Japan,Vitamin,Vitamin C,26-45,281,8.37,108,633,0
2021-03-16,2021,3,16,Africa,South Africa,Respiratory,Salbutamol,65+,500,19.33,261,863,1
2024-02-22,2024,2,22,South America,Colombia,Cough_Cold,Cough Syrup,0-12,122,9.83,1332,994,0
2022-09-16,2022,9,16,Oceania,New Zealand,Cough_Cold,Cough Syrup,65+,472,12.03,20,58,1
2023-02-09,2023,2,9,Europe,UK,Chronic,Omeprazole,13-25,356,44.18,552,621,0
2022-10-24,2022,10,24,Africa,South Africa,Vitamin,Vitamin C,0-12,36,9.55,975,760,1
2025-02-25,2025,2,25,East Asia,South Korea,Respiratory,Salbutamol,26-45,34,18.81,1086,464,0
2025-11-04,2025,11,4,East Asia,South Korea,Diabetes,Metformin,0-12,458,17.76,1001,596,0
2021-03-23,2021,3,23,North America,Mexico,Respiratory,Salbutamol,26-45,308,17.07,1378,287,1
2021-02-21,2021,2,21,South America,Brazil,Diabetes,Metformin,46-65,106,14.85,710,722,1
2022-10-29,2022,10,29,Middle East,UAE,Antibiotic,Amoxicillin,13-25,391,35.26,709,459,1
2022-04-29,2022,4,29,Europe,Germany,Chronic,Omeprazole,65+,181,34.72,207,151,1
2021-12-24,2021,12,24,Africa,Nigeria,Cough_Cold,Cough Syrup,0-12,163,13.37,440,611,1
2020-08-14,2020,8,14,Oceania,New Zealand,Respiratory,Salbutamol,65+,14,16.6,819,328,1
2021-03-12,2021,3,12,East Asia,South Korea,Chronic,Omeprazole,65+,397,37.56,1376,835,1
2024-01-08,2024,1,8,East Asia,Japan,Respiratory,Salbutamol,65+,31,18.08,431,599,0
2024-03-30,2024,3,30,Africa,South Africa,Pain_Relief,Ibuprofen,26-45,325,9.42,196,286,0
2022-04-13,2022,4,13,North America,Mexico,Diabetes,Metformin,46-65,215,14.73,186,645,1
2020-08-31,2020,8,31,Africa,Nigeria,Antibiotic,Azithromycin,46-65,239,24.14,106,131,1
2021-11-17,2021,11,17,South Asia,Bangladesh,Respiratory,Salbutamol,0-12,228,17.74,1300,766,1
2024-01-01,2024,1,1,Africa,South Africa,Respiratory,Salbutamol,13-25,153,16.25,152,652,0
2024-03-08,2024,3,8,Oceania,Australia,Respiratory,Salbutamol,26-45,165,21.9,1202,117,0
2024-06-01,2024,6,1,Oceania,Australia,Cardiovascular,Atorvastatin,26-45,210,22.54,1560,330,0
2020-08-11,2020,8,11,Oceania,New Zealand,Antibiotic,Amoxicillin,0-12,326,27.19,1032,973,1
2020-03-05,2020,3,5,Africa,South Africa,Diabetes,Metformin,65+,20,15.83,352,834,1
2023-01-23,2023,1,23,Africa,South Africa,Pain_Relief,Ibuprofen,46-65,427,9.21,1210,267,0
2020-04-22,2020,4,22,South Asia,Bangladesh,Respiratory,Salbutamol,65+,253,23.9,772,674,1
2024-01-04,2024,1,4,South Asia,Bangladesh,Vitamin,Vitamin C,0-12,388,11.21,14,890,0
2021-02-20,2021,2,20,Oceania,Australia,Antibiotic,Azithromycin,26-45,290,29.95,829,700,1
2023-07-30,2023,7,30,Europe,Italy,Diabetes,Metformin,46-65,37,14.53,686,789,0
2022-05-10,2022,5,10,South Asia,India,Vitamin,Vitamin C,46-65,301,8.41,740,178,1
2020-11-24,2020,11,24,North America,USA,Respiratory,Salbutamol,13-25,399,17.8,949,534,1
2022-09-05,2022,9,5,Africa,South Africa,Antibiotic,Amoxicillin,65+,371,32.94,1484,425,1
2025-03-22,2025,3,22,South America,Colombia,Vitamin,Vitamin C,0-12,478,9.54,814,642,0
2021-10-14,2021,10,14,Oceania,New Zealand,Cardiovascular,Atorvastatin,0-12,56,24.46,1137,716,1
2023-01-08,2023,1,8,South Asia,Bangladesh,Respiratory,Salbutamol,26-45,88,19.36,616,474,0
2021-02-06,2021,2,6,North America,USA,Antibiotic,Amoxicillin,65+,325,27.28,1006,916,1
2022-11-11,2022,11,11,Oceania,Australia,Antibiotic,Amoxicillin,0-12,126,32.08,132,463,1
2021-11-01,2021,11,1,South Asia,India,Cardiovascular,Amlodipine,65+,354,22.03,514,736,1
2021-02-28,2021,2,28,North America,Mexico,Diabetes,Metformin,26-45,265,12.59,981,605,1
2023-11-27,2023,11,27,Africa,Nigeria,Cough_Cold,Cough Syrup,65+,485,13.12,1395,175,0
2025-08-05,2025,8,5,Africa,South Africa,Cardiovascular,Atorvastatin,65+,85,21.06,1175,832,0
2022-09-30,2022,9,30,South America,Argentina,Diabetes,Metformin,13-25,431,13.97,562,932,1
2022-05-23,2022,5,23,Europe,Italy,Cardiovascular,Amlodipine,65+,429,21.56,367,195,1
2023-09-13,2023,9,13,South Asia,India,Cough_Cold,Cough Syrup,0-12,205,11.26,1268,417,0
2023-05-19,2023,5,19,Europe,Italy,Diabetes,Metformin,65+,238,12.13,287,408,0
2020-11-23,2020,11,23,South Asia,India,Cardiovascular,Atorvastatin,26-45,23,25.48,1658,813,1
2022-10-22,2022,10,22,South Asia,Bangladesh,Diabetes,Metformin,13-25,279,17.82,445,106,1
2024-01-19,2024,1,19,Africa,South Africa,Cough_Cold,Cough Syrup,13-25,212,13.73,836,484,0
2021-02-08,2021,2,8,South America,Argentina,Respiratory,Salbutamol,0-12,58,21.25,558,988,1
2021-08-18,2021,8,18,Africa,Nigeria,Vitamin,Vitamin C,26-45,489,8.17,21,901,1
2023-03-18,2023,3,18,South America,Colombia,Vitamin,Vitamin C,13-25,77,10.76,1509,948,0
2024-10-01,2024,10,1,North America,USA,Cardiovascular,Atorvastatin,0-12,295,23.06,314,311,0
2025-12-31,2025,12,31,South America,Colombia,Vitamin,Vitamin C,13-25,46,11.31,83,795,0
2024-06-24,2024,6,24,Oceania,New Zealand,Cardiovascular,Amlodipine,65+,160,20.86,1425,435,0
2021-04-13,2021,4,13,North America,USA,Chronic,Omeprazole,65+,206,39.52,1357,213,1
2024-07-16,2024,7,16,South Asia,Bangladesh,Antibiotic,Amoxicillin,26-45,361,28.09,290,640,0
2023-04-02,2023,4,2,South Asia,India,Cough_Cold,Cough Syrup,26-45,209,11.03,1809,735,0
2020-06-28,2020,6,28,South Asia,India,Vitamin,Vitamin C,26-45,12,8.28,878,138,1
2024-10-15,2024,10,15,South America,Brazil,Cough_Cold,Cough Syrup,13-25,292,14.02,392,629,0
2021-12-19,2021,12,19,Oceania,New Zealand,Cardiovascular,Atorvastatin,65+,324,29.39,957,280,1
2021-03-07,2021,3,7,South Asia,India,Diabetes,Metformin,65+,210,16.74,58,730,1
2022-03-03,2022,3,3,Europe,Germany,Respiratory,Salbutamol,26-45,211,19.0,213,573,1
2021-05-25,2021,5,25,South America,Brazil,Chronic,Omeprazole,26-45,350,42.67,294,90,1
2023-07-07,2023,7,7,East Asia,China,Cardiovascular,Atorvastatin,26-45,298,20.75,30,899,0
2023-10-11,2023,10,11,South Asia,India,Cardiovascular,Amlodipine,0-12,66,28.99,986,576,0
2021-10-03,2021,10,3,South America,Brazil,Cough_Cold,Cough Syrup,13-25,230,12.76,1669,507,1
2020-06-16,2020,6,16,Oceania,New Zealand,Cardiovascular,Amlodipine,13-25,477,22.35,177,543,1
2022-05-20,2022,5,20,Africa,Nigeria,Antibiotic,Azithromycin,46-65,363,35.26,805,540,1
2024-05-03,2024,5,3,North America,USA,Diabetes,Metformin,0-12,226,14.53,1354,334,0
2020-01-25,2020,1,25,Middle East,Saudi Arabia,Cough_Cold,Cough Syrup,65+,372,11.33,142,899,1
2024-01-06,2024,1,6,East Asia,South Korea,Diabetes,Metformin,65+,254,13.05,1692,102,0
2021-04-29,2021,4,29,South Asia,Bangladesh,Respiratory,Salbutamol,65+,255,21.4,253,692,1
2021-09-16,2021,9,16,Middle East,Saudi Arabia,Diabetes,Metformin,65+,123,13.48,1406,476,1
2020-04-12,2020,4,12,South Asia,India,Chronic,Omeprazole,65+,12,32.18,240,111,1
2021-05-08,2021,5,8,South America,Brazil,Cardiovascular,Atorvastatin,65+,371,25.3,151,974,1
2023-11-13,2023,11,13,North America,Mexico,Antibiotic,Azithromycin,26-45,450,28.3,1006,261,0
2025-06-02,2025,6,2,Africa,South Africa,Cardiovascular,Amlodipine,65+,214,20.83,62,563,0
2022-01-13,2022,1,13,Europe,Germany,Vitamin,Vitamin C,0-12,220,11.08,487,297,1
2022-08-16,2022,8,16,Oceania,Australia,Chronic,Omeprazole,46-65,496,41.36,79,725,1
2025-03-29,2025,3,29,Europe,Germany,Vitamin,Vitamin C,0-12,403,10.1,405,105,0
2023-01-16,2023,1,16,Europe,France,Cardiovascular,Amlodipine,46-65,47,23.15,1041,560,0
2024-12-09,2024,12,9,North America,Mexico,Cough_Cold,Cough Syrup,0-12,385,10.79,1347,305,0
2025-01-02,2025,1,2,Europe,Italy,Cardiovascular,Atorvastatin,65+,358,27.47,60,764,0
2021-08-17,2021,8,17,North America,Canada,Antibiotic,Amoxicillin,46-65,171,26.35,728,290,1
2023-02-09,2023,2,9,East Asia,China,Chronic,Omeprazole,46-65,310,44.9,179,353,0
2024-07-10,2024,7,10,Oceania,Australia,Pain_Relief,Ibuprofen,26-45,413,7.49,369,672,0
2021-08-28,2021,8,28,East Asia,China,Antibiotic,Amoxicillin,26-45,360,31.54,331,617,1
2021-04-14,2021,4,14,Middle East,UAE,Antibiotic,Azithromycin,0-12,137,27.87,80,605,1
2024-06-05,2024,6,5,South Asia,India,Cough_Cold,Cough Syrup,26-45,393,11.81,1114,420,0
2024-09-05,2024,9,5,Middle East,UAE,Cardiovascular,Amlodipine,65+,230,23.7,455,383,0
2021-07-24,2021,7,24,Africa,South Africa,Chronic,Omeprazole,65+,249,33.79,106,94,1
2020-08-03,2020,8,3,East Asia,South Korea,Antibiotic,Azithromycin,26-45,428,35.29,30,937,1
2025-07-03,2025,7,3,South America,Argentina,Pain_Relief,Ibuprofen,0-12,405,9.33,616,890,0
2024-01-24,2024,1,24,Oceania,Australia,Diabetes,Metformin,26-45,300,17.68,389,117,0
2025-05-27,2025,5,27,North America,USA,Vitamin,Vitamin C,0-12,121,9.77,537,718,0
2020-03-26,2020,3,26,Europe,Germany,Respiratory,Salbutamol,65+,400,18.3,39,710,1
2025-12-14,2025,12,14,East Asia,China,Diabetes,Metformin,26-45,210,13.73,1321,618,0
2024-03-12,2024,3,12,South America,Colombia,Cardiovascular,Atorvastatin,46-65,148,22.98,344,713,0
2022-04-09,2022,4,9,South Asia,India,Respiratory,Salbutamol,26-45,147,23.59,104,596,1
2025-11-25,2025,11,25,South Asia,India,Vitamin,Vitamin C,13-25,262,11.36,313,901,0
2024-08-06,2024,8,6,North America,Canada,Cardiovascular,Amlodipine,26-45,443,29.04,1432,945,0
2025-01-27,2025,1,27,Africa,South Africa,Chronic,Omeprazole,46-65,348,33.36,45,592,0
2024-10-24,2024,10,24,North America,Canada,Cardiovascular,Atorvastatin,65+,75,26.49,1623,494,0
2023-07-14,2023,7,14,East Asia,China,Vitamin,Vitamin C,0-12,277,11.37,924,455,0
2021-08-31,2021,8,31,Europe,France,Vitamin,Vitamin C,65+,292,10.27,42,140,1
2025-08-07,2025,8,7,East Asia,China,Vitamin,Vitamin C,13-25,331,11.53,48,545,0
2021-03-11,2021,3,11,Oceania,Australia,Respiratory,Salbutamol,26-45,362,21.21,28,883,1
2025-09-08,2025,9,8,Oceania,New Zealand,Cough_Cold,Cough Syrup,0-12,450,11.93,1267,331,0
2020-12-16,2020,12,16,Europe,Germany,Diabetes,Metformin,0-12,115,16.11,193,386,1
2022-03-29,2022,3,29,North America,USA,Cardiovascular,Atorvastatin,46-65,111,27.43,654,77,1
2022-04-10,2022,4,10,Oceania,Australia,Diabetes,Metformin,46-65,323,17.98,218,524,1
2024-05-24,2024,5,24,Africa,Nigeria,Pain_Relief,Ibuprofen,26-45,12,6.8,1479,153,0
2021-02-07,2021,2,7,Europe,UK,Antibiotic,Amoxicillin,26-45,470,35.19,24,996,1
2021-03-20,2021,3,20,South America,Colombia,Vitamin,Vitamin C,26-45,243,11.14,947,720,1
2022-06-30,2022,6,30,Africa,Nigeria,Vitamin,Vitamin C,0-12,13,8.31,1192,348,1
2022-01-21,2022,1,21,Africa,South Africa,Diabetes,Metformin,65+,183,17.14,822,35,1
2021-07-07,2021,7,7,South Asia,India,Chronic,Omeprazole,26-45,73,40.04,1500,701,1
2025-08-21,2025,8,21,Middle East,Saudi Arabia,Cardiovascular,Atorvastatin,26-45,171,23.01,171,962,0
2022-01-02,2022,1,2,East Asia,China,Pain_Relief,Ibuprofen,46-65,152,9.53,427,748,1
2025-01-13,2025,1,13,East Asia,Japan,Vitamin,Vitamin C,46-65,111,10.16,883,695,0
2023-09-15,2023,9,15,Europe,Germany,Vitamin,Vitamin C,26-45,314,9.94,1410,556,0
2020-12-16,2020,12,16,South Asia,Bangladesh,Vitamin,Vitamin C,13-25,347,9.45,168,859,1
2021-12-22,2021,12,22,Oceania,Australia,Vitamin,Vitamin C,13-25,77,9.57,197,722,1
2025-07-19,2025,7,19,South Asia,Bangladesh,Antibiotic,Amoxicillin,46-65,281,30.25,597,552,0
2020-08-17,2020,8,17,South Asia,Bangladesh,Diabetes,Metformin,65+,484,14.02,1269,76,1
2020-01-04,2020,1,4,Oceania,Australia,Diabetes,Metformin,46-65,395,16.7,484,304,1
2020-01-16,2020,1,16,South America,Argentina,Respiratory,Salbutamol,26-45,351,20.69,21,220,1
2023-01-29,2023,1,29,East Asia,Japan,Respiratory,Salbutamol,65+,43,21.66,1503,848,0
2022-01-24,2022,1,24,South Asia,India,Cardiovascular,Atorvastatin,65+,402,25.12,39,756,1
2021-08-03,2021,8,3,Middle East,Saudi Arabia,Chronic,Omeprazole,13-25,59,37.57,925,493,1
2025-10-23,2025,10,23,Africa,South Africa,Cough_Cold,Cough Syrup,46-65,59,14.4,871,612,0
2024-10-11,2024,10,11,Europe,UK,Cough_Cold,Cough Syrup,13-25,67,12.88,74,200,0
2025-05-28,2025,5,28,Africa,South Africa,Respiratory,Salbutamol,13-25,76,16.56,1509,201,0
2024-11-26,2024,11,26,South Asia,India,Chronic,Omeprazole,13-25,124,42.48,1779,112,0
2022-05-29,2022,5,29,Africa,Nigeria,Cardiovascular,Amlodipine,26-45,175,21.95,1368,300,1
2025-01-10,2025,1,10,North America,USA,Antibiotic,Azithromycin,65+,426,27.97,12,435,0
2024-03-08,2024,3,8,Africa,Nigeria,Cough_Cold,Cough Syrup,13-25,29,11.56,1969,984,0
2022-09-28,2022,9,28,South Asia,India,Antibiotic,Azithromycin,13-25,429,30.32,527,245,1
2021-04-23,2021,4,23,Europe,Germany,Respiratory,Salbutamol,26-45,206,17.44,1189,564,1
2021-03-12,2021,3,12,South America,Colombia,Cough_Cold,Cough Syrup,13-25,426,13.81,1267,740,1
2024-03-11,2024,3,11,South America,Colombia,Chronic,Omeprazole,26-45,147,35.05,932,752,0
2025-01-03,2025,1,3,Middle East,Saudi Arabia,Pain_Relief,Ibuprofen,46-65,282,8.74,1360,209,0
2023-09-10,2023,9,10,South Asia,India,Vitamin,Vitamin C,26-45,26,11.91,850,158,0
2021-02-27,2021,2,27,Middle East,Saudi Arabia,Antibiotic,Azithromycin,46-65,179,26.91,757,195,1
2024-12-31,2024,12,31,North America,USA,Chronic,Omeprazole,13-25,227,35.69,483,374,0
2024-12-20,2024,12,20,South America,Colombia,Respiratory,Salbutamol,13-25,82,19.68,705,409,0
2025-04-22,2025,4,22,Oceania,Australia,Chronic,Omeprazole,26-45,51,40.39,641,973,0
2022-08-28,2022,8,28,Africa,Nigeria,Cough_Cold,Cough Syrup,0-12,453,11.37,128,345,1
2025-09-24,2025,9,24,Oceania,Australia,Diabetes,Metformin,13-25,74,12.71,1914,529,0
2022-04-11,2022,4,11,Middle East,Saudi Arabia,Chronic,Omeprazole,65+,261,42.56,1621,549,1
2023-02-14,2023,2,14,North America,USA,Diabetes,Metformin,26-45,295,12.05,1259,794,0
2020-09-13,2020,9,13,South America,Colombia,Vitamin,Vitamin C,13-25,353,8.46,1517,684,1
2023-07-30,2023,7,30,Africa,Nigeria,Cough_Cold,Cough Syrup,13-25,241,12.46,151,776,0
2022-09-18,2022,9,18,Middle East,UAE,Diabetes,Metformin,65+,175,16.11,1004,332,1
2023-04-18,2023,4,18,Europe,Germany,Chronic,Omeprazole,46-65,424,41.09,131,454,0
2020-08-26,2020,8,26,Africa,South Africa,Cough_Cold,Cough Syrup,0-12,38,11.39,1328,506,1
2025-08-27,2025,8,27,Oceania,New Zealand,Cardiovascular,Atorvastatin,65+,288,28.67,1491,983,0
2022-12-23,2022,12,23,South America,Brazil,Antibiotic,Amoxicillin,0-12,344,34.66,578,525,1
2023-10-04,2023,10,4,Middle East,Saudi Arabia,Pain_Relief,Ibuprofen,26-45,154,6.58,299,441,0
2021-06-07,2021,6,7,South Asia,Bangladesh,Chronic,Omeprazole,26-45,53,34.09,1055,829,1
2022-08-26,2022,8,26,Africa,Nigeria,Antibiotic,Azithromycin,26-45,259,33.49,367,719,1
2020-01-20,2020,1,20,Middle East,Saudi Arabia,Respiratory,Salbutamol,26-45,461,21.73,55,981,1
2025-03-12,2025,3,12,North America,Canada,Chronic,Omeprazole,26-45,37,47.35,289,312,0
2024-12-18,2024,12,18,Africa,Nigeria,Chronic,Omeprazole,46-65,469,42.91,663,523,0
2020-06-08,2020,6,8,South Asia,India,Cough_Cold,Cough Syrup,46-65,455,12.17,218,939,1
2023-06-13,2023,6,13,South Asia,Bangladesh,Chronic,Omeprazole,46-65,269,39.08,253,942,0
2020-04-15,2020,4,15,South America,Argentina,Diabetes,Metformin,46-65,500,15.97,1185,449,1
2021-02-04,2021,2,4,South America,Colombia,Cardiovascular,Atorvastatin,65+,251,28.22,1772,207,1
2023-06-09,2023,6,9,Oceania,Australia,Diabetes,Metformin,46-65,190,13.08,737,31,0
2022-11-26,2022,11,26,Africa,South Africa,Respiratory,Salbutamol,26-45,114,21.72,1282,166,1
2022-03-30,2022,3,30,Europe,Italy,Antibiotic,Amoxicillin,26-45,387,30.12,777,412,1
2022-11-13,2022,11,13,Europe,Germany,Cough_Cold,Cough Syrup,0-12,136,14.07,1874,687,1
2024-09-30,2024,9,30,South Asia,Bangladesh,Cough_Cold,Cough Syrup,13-25,425,13.32,398,499,0
2020-10-14,2020,10,14,Europe,France,Vitamin,Vitamin C,13-25,138,11.79,1230,594,1
2024-08-19,2024,8,19,South Asia,Bangladesh,Antibiotic,Azithromycin,26-45,43,24.82,1399,851,0
2022-05-27,2022,5,27,Oceania,Australia,Respiratory,Salbutamol,0-12,295,20.97,920,305,1
2020-08-10,2020,8,10,Oceania,New Zealand,Antibiotic,Azithromycin,0-12,457,28.29,14,789,1
2024-04-09,2024,4,9,South America,Colombia,Chronic,Omeprazole,26-45,352,36.99,677,182,0
2024-08-27,2024,8,27,South America,Colombia,Cardiovascular,Atorvastatin,65+,153,27.0,1307,285,0
2021-08-18,2021,8,18,Middle East,Saudi Arabia,Vitamin,Vitamin C,13-25,297,11.46,1474,189,1
2025-01-22,2025,1,22,East Asia,South Korea,Cough_Cold,Cough Syrup,0-12,257,12.24,659,131,0
2020-10-19,2020,10,19,Europe,Italy,Antibiotic,Azithromycin,13-25,144,27.83,1530,596,1
2023-01-07,2023,1,7,Middle East,Saudi Arabia,Cardiovascular,Amlodipine,26-45,205,28.46,734,264,0
2025-08-31,2025,8,31,South Asia,India,Chronic,Omeprazole,65+,151,37.25,1157,538,0
2021-04-08,2021,4,8,North America,USA,Diabetes,Metformin,0-12,215,13.84,807,422,1
2024-11-12,2024,11,12,South America,Brazil,Chronic,Omeprazole,65+,152,36.56,1438,995,0
2023-03-15,2023,3,15,South America,Argentina,Chronic,Omeprazole,13-25,237,38.7,462,449,0
2022-01-04,2022,1,4,Africa,South Africa,Cardiovascular,Atorvastatin,13-25,404,28.0,1317,132,1
2020-11-14,2020,11,14,South America,Argentina,Respiratory,Salbutamol,26-45,90,21.95,521,749,1
2023-07-24,2023,7,24,North America,Mexico,Respiratory,Salbutamol,26-45,13,17.54,1920,844,0
2021-03-15,2021,3,15,Europe,France,Respiratory,Salbutamol,26-45,142,18.67,1655,181,1
2020-05-16,2020,5,16,East Asia,South Korea,Respiratory,Salbutamol,26-45,279,20.92,224,790,1
2025-03-29,2025,3,29,East Asia,Japan,Diabetes,Metformin,65+,298,12.79,191,515,0
2023-11-01,2023,11,1,South Asia,India,Respiratory,Salbutamol,46-65,227,20.49,98,197,0
2025-11-12,2025,11,12,South America,Colombia,Cardiovascular,Atorvastatin,46-65,131,28.41,1061,713,0
2023-04-09,2023,4,9,North America,Mexico,Diabetes,Metformin,13-25,195,16.33,172,42,0
2025-03-10,2025,3,10,Europe,Germany,Respiratory,Salbutamol,46-65,91,16.84,814,738,0
2021-07-03,2021,7,3,Oceania,New Zealand,Chronic,Omeprazole,26-45,209,33.77,210,801,1
2023-08-28,2023,8,28,South Asia,Bangladesh,Antibiotic,Azithromycin,13-25,325,25.08,1396,640,0
2023-12-18,2023,12,18,Europe,Germany,Antibiotic,Azithromycin,65+,357,25.83,46,396,0
2021-09-30,2021,9,30,Europe,UK,Antibiotic,Amoxicillin,0-12,358,31.51,1662,425,1
2020-02-18,2020,2,18,Africa,Nigeria,Diabetes,Metformin,13-25,129,14.59,1226,942,1
2020-06-22,2020,6,22,Middle East,UAE,Antibiotic,Amoxicillin,46-65,394,25.39,25,937,1
2023-03-16,2023,3,16,Middle East,UAE,Antibiotic,Azithromycin,46-65,41,33.85,1470,103,0
2024-05-14,2024,5,14,Europe,Germany,Cardiovascular,Atorvastatin,46-65,221,21.34,733,568,0
2022-01-03,2022,1,3,South Asia,India,Respiratory,Salbutamol,46-65,267,21.5,414,393,1
2021-04-10,2021,4,10,Europe,France,Respiratory,Salbutamol,65+,326,18.0,1076,855,1
2023-05-04,2023,5,4,North America,Mexico,Cardiovascular,Amlodipine,65+,182,25.46,14,739,0
2020-02-02,2020,2,2,South Asia,Bangladesh,Cardiovascular,Atorvastatin,26-45,314,28.76,1624,834,1
2025-06-17,2025,6,17,South Asia,Bangladesh,Vitamin,Vitamin C,65+,337,8.41,540,408,0
2021-04-29,2021,4,29,Middle East,UAE,Vitamin,Vitamin C,13-25,448,10.55,69,140,1
2025-03-14,2025,3,14,Oceania,Australia,Cardiovascular,Atorvastatin,65+,192,23.77,660,662,0
2023-11-08,2023,11,8,East Asia,China,Pain_Relief,Ibuprofen,13-25,99,7.69,1282,651,0
2021-02-25,2021,2,25,Africa,South Africa,Respiratory,Salbutamol,13-25,215,20.26,1113,665,1
2025-08-14,2025,8,14,Middle East,Saudi Arabia,Cough_Cold,Cough Syrup,26-45,256,13.78,208,418,0
2020-06-01,2020,6,1,Oceania,New Zealand,Antibiotic,Amoxicillin,65+,440,34.46,712,522,1
2024-03-02,2024,3,2,Oceania,New Zealand,Diabetes,Metformin,13-25,212,16.53,1077,476,0
2022-05-25,2022,5,25,Europe,France,Antibiotic,Amoxicillin,0-12,167,29.94,1158,771,1
2022-01-23,2022,1,23,South America,Brazil,Diabetes,Metformin,46-65,382,17.79,758,188,1
2022-05-15,2022,5,15,East Asia,Japan,Pain_Relief,Paracetamol,26-45,285,7.14,19,230,1
2023-10-24,2023,10,24,Africa,Nigeria,Cardiovascular,Amlodipine,26-45,67,25.75,1715,574,0
2024-03-18,2024,3,18,Africa,South Africa,Vitamin,Vitamin C,26-45,304,10.04,467,108,0
2020-10-30,2020,10,30,East Asia,Japan,Vitamin,Vitamin C,26-45,490,11.31,37,379,1
2024-03-25,2024,3,25,South Asia,Bangladesh,Cardiovascular,Amlodipine,65+,358,25.69,565,438,0
2021-06-10,2021,6,10,Middle East,UAE,Antibiotic,Amoxicillin,13-25,241,29.01,1593,378,1
2020-05-04,2020,5,4,Oceania,Australia,Antibiotic,Azithromycin,0-12,135,26.05,680,944,1
2020-04-11,2020,4,11,North America,Canada,Antibiotic,Amoxicillin,26-45,486,28.72,41,772,1
2023-07-05,2023,7,5,Middle East,UAE,Respiratory,Salbutamol,46-65,106,17.9,306,882,0
2023-08-15,2023,8,15,South America,Brazil,Pain_Relief,Paracetamol,0-12,380,8.26,707,82,0
2023-05-21,2023,5,21,North America,Canada,Respiratory,Salbutamol,46-65,248,21.34,565,732,0
2024-11-07,2024,11,7,Europe,France,Diabetes,Metformin,46-65,325,14.96,387,206,0
2022-04-29,2022,4,29,Europe,Italy,Antibiotic,Azithromycin,65+,173,30.97,1414,598,1
2021-07-20,2021,7,20,Africa,Nigeria,Antibiotic,Azithromycin,26-45,208,26.83,687,814,1
2025-05-24,2025,5,24,North America,Mexico,Vitamin,Vitamin C,13-25,79,9.98,1874,461,0
2020-01-18,2020,1,18,Middle East,UAE,Pain_Relief,Paracetamol,26-45,406,8.44,1103,970,1
2024-10-03,2024,10,3,Middle East,UAE,Diabetes,Metformin,65+,220,16.96,121,244,0
2024-08-28,2024,8,28,Oceania,Australia,Cardiovascular,Amlodipine,0-12,290,23.18,291,830,0
2024-10-20,2024,10,20,Oceania,Australia,Diabetes,Metformin,0-12,367,12.48,1348,81,0
